symbol,open,high,low,close,volume,timestamp
NIFTY,23175.5,23176.15,23168.95,23171,706648,2026-06-09T10:17:00.000000Z
NIFTY,23175.5,23176.15,23168.95,23171,706648,2026-06-09T10:17:00.000000Z
NIFTY,23175.5,23176.15,23168.95,23171,706648,2026-06-09T10:17:00.000000Z
NIFTY,23171.1,23173.15,23168.4,23172,1181685,2026-06-09T10:18:00.000000Z
NIFTY,23171.1,23173.15,23168.4,23172,1181685,2026-06-09T10:18:00.000000Z
NIFTY,23171.1,23173.15,23168.4,23172,1181685,2026-06-09T10:18:00.000000Z
NIFTY,23171.1,23173.15,23168.4,23172,1181685,2026-06-09T10:18:00.000000Z
NIFTY,23171.7,23174.55,23167.4,23170,2387810,2026-06-09T10:19:00.000000Z
NIFTY,23171.7,23174.55,23167.4,23170,2387810,2026-06-09T10:19:00.000000Z
NIFTY,23171.7,23174.55,23167.4,23170,2387810,2026-06-09T10:19:00.000000Z
NIFTY,23171.7,23174.55,23167.4,23170,2387810,2026-06-09T10:19:00.000000Z
NIFTY,23169.65,23170.75,23161.6,23163.8,1067124,2026-06-09T10:20:00.000000Z
NIFTY,23169.65,23170.75,23161.6,23163.8,1067124,2026-06-09T10:20:00.000000Z
NIFTY,23169.65,23170.75,23161.6,23163.8,1067124,2026-06-09T10:20:00.000000Z
NIFTY,23169.65,23170.75,23161.6,23163.8,1067124,2026-06-09T10:20:00.000000Z
NIFTY,23163.8,23165.25,23161.45,23164.45,1066468,2026-06-09T10:21:00.000000Z
NIFTY,23163.8,23165.25,23161.45,23164.45,1066468,2026-06-09T10:21:00.000000Z
NIFTY,23163.8,23165.25,23161.45,23164.45,1066468,2026-06-09T10:21:00.000000Z
NIFTY,23163.8,23165.25,23161.45,23164.45,1066468,2026-06-09T10:21:00.000000Z
NIFTY,23164.4,23168.35,23155.9,23156.1,828452,2026-06-09T10:22:00.000000Z
NIFTY,23164.4,23168.35,23155.9,23156.1,828452,2026-06-09T10:22:00.000000Z
NIFTY,23164.4,23168.35,23155.9,23156.1,828452,2026-06-09T10:22:00.000000Z
NIFTY,23164.4,23168.35,23155.9,23156.1,828452,2026-06-09T10:22:00.000000Z
NIFTY,23156.25,23157.35,23149.1,23150.25,1100446,2026-06-09T10:23:00.000000Z
